Reporting country,Reference period,Item code,Item name,Value,Undertaking type,Date of extraction (yyyymmdd),"Number of submissions (per reporting country, reference date and undertaking type)"
AUSTRIA,2016 Q3,R0640_P10,Ratio of Eligible own funds to MCR (P10),4.67833,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0640_P10,Ratio of Eligible own funds to MCR (P10),2.94655,Other undertakings,20250930,19
AUSTRIA,2016 Q3,R0640_P25,Ratio of Eligible own funds to MCR (P25),4.7141,All undertaking types,20250930,41
AUSTRIA,2016 Q3,R0640_P25,Ratio of Eligible own funds to MCR (P25),3.89254,Life undertakings,20250930,7
AUSTRIA,2016 Q3,R0640_P25,Ratio of Eligible own funds to MCR (P25),5.96467,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0640_P25,Ratio of Eligible own funds to MCR (P25),4.30936,Other undertakings,20250930,19
AUSTRIA,2016 Q3,R0640_P50,Ratio of Eligible own funds to MCR (P50),6.18036,All undertaking types,20250930,41
AUSTRIA,2016 Q3,R0640_P50,Ratio of Eligible own funds to MCR (P50),4.7995,Life undertakings,20250930,7
AUSTRIA,2016 Q3,R0640_P50,Ratio of Eligible own funds to MCR (P50),8.55769,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0640_P50,Ratio of Eligible own funds to MCR (P50),6.18036,Other undertakings,20250930,19
AUSTRIA,2016 Q3,R0640_P75,Ratio of Eligible own funds to MCR (P75),8.79775,All undertaking types,20250930,41
AUSTRIA,2016 Q3,R0640_P75,Ratio of Eligible own funds to MCR (P75),5.36339,Life undertakings,20250930,7
AUSTRIA,2016 Q3,R0640_P75,Ratio of Eligible own funds to MCR (P75),10.66862,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0640_P75,Ratio of Eligible own funds to MCR (P75),8.37664,Other undertakings,20250930,19
AUSTRIA,2016 Q3,R0640_P90,Ratio of Eligible own funds to MCR (P90),10.76345,All undertaking types,20250930,41
AUSTRIA,2016 Q3,R0640_P90,Ratio of Eligible own funds to MCR (P90),5.87046,Life undertakings,20250930,7
AUSTRIA,2016 Q3,R0640_P90,Ratio of Eligible own funds to MCR (P90),13.4775,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q3,R0640_P90,Ratio of Eligible own funds to MCR (P90),9.88585,Other undertakings,20250930,19
AUSTRIA,2016 Q4,R0500,Total available own funds to meet the SCR,773.980735,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0500,Total available own funds to meet the SCR,17886.472275,Non-Life undertakings,20250930,15
