Reporting country,Reference period,Item code,Item name,Value,Undertaking type,Date of extraction (yyyymmdd),"Number of submissions (per reporting country, reference date and undertaking type)"
CYPRUS,2023 Q3,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.58929,All undertaking types,20250930,32
CYPRUS,2023 Q3,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.24327,Life undertakings,20250930,3
CYPRUS,2023 Q3,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.5454,Non-Life undertakings,20250930,21
CYPRUS,2023 Q3,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.0538,Other undertakings,20250930,8
CYPRUS,2023 Q3,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.10426,All undertaking types,20250930,32
CYPRUS,2023 Q3,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.27149,Life undertakings,20250930,3
CYPRUS,2023 Q3,R0620_P50,Ratio of Eligible own funds to SCR (P50),1.7591,Non-Life undertakings,20250930,21
CYPRUS,2023 Q3,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.31383,Other undertakings,20250930,8
CYPRUS,2023 Q3,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.52426,All undertaking types,20250930,32
CYPRUS,2023 Q3,R0620_P75,Ratio of Eligible own funds to SCR (P75),3.29595,Life undertakings,20250930,3
CYPRUS,2023 Q3,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.38187,Non-Life undertakings,20250930,21
CYPRUS,2023 Q3,R0620_P75,Ratio of Eligible own funds to SCR (P75),3.24257,Other undertakings,20250930,8
CYPRUS,2023 Q3,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.35012,All undertaking types,20250930,32
CYPRUS,2023 Q3,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.91062,Life undertakings,20250930,3
CYPRUS,2023 Q3,R0620_P90,Ratio of Eligible own funds to SCR (P90),2.90617,Non-Life undertakings,20250930,21
CYPRUS,2023 Q3,R0620_P90,Ratio of Eligible own funds to SCR (P90),4.05254,Other undertakings,20250930,8
CYPRUS,2023 Q3,R0640,Ratio of Eligible own funds to MCR,7.86128,All undertaking types,20250930,32
CYPRUS,2023 Q3,R0640,Ratio of Eligible own funds to MCR,11.503,Life undertakings,20250930,3
CYPRUS,2023 Q3,R0640,Ratio of Eligible own funds to MCR,6.8236,Non-Life undertakings,20250930,21
CYPRUS,2023 Q3,R0640,Ratio of Eligible own funds to MCR,8.68171,Other undertakings,20250930,8
CYPRUS,2023 Q3,R0640_P10,Ratio of Eligible own funds to MCR (P10),1.23871,All undertaking types,20250930,32
CYPRUS,2023 Q3,R0640_P10,Ratio of Eligible own funds to MCR (P10),6.43177,Life undertakings,20250930,3
CYPRUS,2023 Q3,R0640_P10,Ratio of Eligible own funds to MCR (P10),1.17826,Non-Life undertakings,20250930,21
CYPRUS,2023 Q3,R0640_P10,Ratio of Eligible own funds to MCR (P10),2.46356,Other undertakings,20250930,8
CYPRUS,2023 Q3,R0640_P25,Ratio of Eligible own funds to MCR (P25),2.47878,All undertaking types,20250930,32
CYPRUS,2023 Q3,R0640_P25,Ratio of Eligible own funds to MCR (P25),6.82744,Life undertakings,20250930,3
CYPRUS,2023 Q3,R0640_P25,Ratio of Eligible own funds to MCR (P25),2.07657,Non-Life undertakings,20250930,21
CYPRUS,2023 Q3,R0640_P25,Ratio of Eligible own funds to MCR (P25),3.33875,Other undertakings,20250930,8
CYPRUS,2023 Q3,R0640_P50,Ratio of Eligible own funds to MCR (P50),4.03699,All undertaking types,20250930,32
CYPRUS,2023 Q3,R0640_P50,Ratio of Eligible own funds to MCR (P50),7.48689,Life undertakings,20250930,3
CYPRUS,2023 Q3,R0640_P50,Ratio of Eligible own funds to MCR (P50),3.57427,Non-Life undertakings,20250930,21
CYPRUS,2023 Q3,R0640_P50,Ratio of Eligible own funds to MCR (P50),5.0205,Other undertakings,20250930,8
CYPRUS,2023 Q3,R0640_P75,Ratio of Eligible own funds to MCR (P75),7.54188,All undertaking types,20250930,32
CYPRUS,2023 Q3,R0640_P75,Ratio of Eligible own funds to MCR (P75),12.38429,Life undertakings,20250930,3
CYPRUS,2023 Q3,R0640_P75,Ratio of Eligible own funds to MCR (P75),5.2012,Non-Life undertakings,20250930,21
CYPRUS,2023 Q3,R0640_P75,Ratio of Eligible own funds to MCR (P75),10.30778,Other undertakings,20250930,8
CYPRUS,2023 Q3,R0640_P90,Ratio of Eligible own funds to MCR (P90),13.23567,All undertaking types,20250930,32
CYPRUS,2023 Q3,R0640_P90,Ratio of Eligible own funds to MCR (P90),15.32274,Life undertakings,20250930,3
CYPRUS,2023 Q3,R0640_P90,Ratio of Eligible own funds to MCR (P90),8.103,Non-Life undertakings,20250930,21
CYPRUS,2023 Q3,R0640_P90,Ratio of Eligible own funds to MCR (P90),16.21021,Other undertakings,20250930,8
CYPRUS,2023 Q4,R0500,Total available own funds to meet the SCR,199.800188,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0500,Total available own funds to meet the SCR,743.266445,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0500,Total available own funds to meet the SCR,599.151247,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0510,Total available own funds to meet the MCR,199.800188,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0510,Total available own funds to meet the MCR,719.053897,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0510,Total available own funds to meet the MCR,599.151247,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0540,Total eligible own funds to meet the SCR,199.800188,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0540,Total eligible own funds to meet the SCR,735.833693,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0540,Total eligible own funds to meet the SCR,599.151247,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0540 - C0020,EOF Tier 1 - unrestricted,199.800188,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0540 - C0020,EOF Tier 1 - unrestricted,719.053897,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0540 - C0020,EOF Tier 1 - unrestricted,598.35458,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0540 - C0030,EOF Tier 1 - restricted,0.0,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0540 - C0030,EOF Tier 1 - restricted,0.0,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0540 - C0030,EOF Tier 1 - restricted,0.0,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0540 - C0040,EOF Tier 2,0.0,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0540 - C0040,EOF Tier 2,16.709208,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0540 - C0040,EOF Tier 2,0.796667,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0540 - C0050,EOF Tier 3,0.0,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0540 - C0050,EOF Tier 3,0.070587,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0540 - C0050,EOF Tier 3,0.0,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0550,Total eligible own funds to meet the MCR,199.800188,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0550,Total eligible own funds to meet the MCR,719.053897,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0550,Total eligible own funds to meet the MCR,599.151247,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0580,SCR,69.848785,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0580,SCR,270.203888,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0580,SCR,209.657527,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0600,MCR,22.698378,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0600,MCR,114.060123,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0600,MCR,71.317474,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0620,Ratio of Eligible own funds to SCR,2.79199,All undertaking types,20250930,32
CYPRUS,2023 Q4,R0620,Ratio of Eligible own funds to SCR,2.86047,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0620,Ratio of Eligible own funds to SCR,2.72325,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0620,Ratio of Eligible own funds to SCR,2.85776,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.50879,All undertaking types,20250930,32
CYPRUS,2023 Q4,R0620_P10,Ratio of Eligible own funds to SCR (P10),2.05794,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.5308,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.44116,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.6984,All undertaking types,20250930,32
CYPRUS,2023 Q4,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.22165,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.6309,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.75338,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.00726,All undertaking types,20250930,32
CYPRUS,2023 Q4,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.76505,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0620_P50,Ratio of Eligible own funds to SCR (P50),1.98266,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.24665,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.43059,All undertaking types,20250930,32
CYPRUS,2023 Q4,R0620_P75,Ratio of Eligible own funds to SCR (P75),3.2609,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.3298,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.57885,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.20322,All undertaking types,20250930,32
CYPRUS,2023 Q4,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.33901,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0620_P90,Ratio of Eligible own funds to SCR (P90),2.7551,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.91214,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0640,Ratio of Eligible own funds to MCR,7.29544,All undertaking types,20250930,32
CYPRUS,2023 Q4,R0640,Ratio of Eligible own funds to MCR,8.8024,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0640,Ratio of Eligible own funds to MCR,6.30417,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0640,Ratio of Eligible own funds to MCR,8.40118,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0640_P10,Ratio of Eligible own funds to MCR (P10),1.27472,All undertaking types,20250930,32
CYPRUS,2023 Q4,R0640_P10,Ratio of Eligible own funds to MCR (P10),5.5013,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0640_P10,Ratio of Eligible own funds to MCR (P10),1.21285,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0640_P10,Ratio of Eligible own funds to MCR (P10),2.67866,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0640_P25,Ratio of Eligible own funds to MCR (P25),2.50117,All undertaking types,20250930,32
CYPRUS,2023 Q4,R0640_P25,Ratio of Eligible own funds to MCR (P25),6.1802,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0640_P25,Ratio of Eligible own funds to MCR (P25),2.1581,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0640_P25,Ratio of Eligible own funds to MCR (P25),3.49951,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0640_P50,Ratio of Eligible own funds to MCR (P50),4.35817,All undertaking types,20250930,32
CYPRUS,2023 Q4,R0640_P50,Ratio of Eligible own funds to MCR (P50),7.17638,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0640_P50,Ratio of Eligible own funds to MCR (P50),3.6133,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0640_P50,Ratio of Eligible own funds to MCR (P50),4.97097,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0640_P75,Ratio of Eligible own funds to MCR (P75),6.68072,All undertaking types,20250930,32
CYPRUS,2023 Q4,R0640_P75,Ratio of Eligible own funds to MCR (P75),9.23765,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0640_P75,Ratio of Eligible own funds to MCR (P75),5.3436,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0640_P75,Ratio of Eligible own funds to MCR (P75),9.35406,Other undertakings,20250930,7
CYPRUS,2023 Q4,R0640_P90,Ratio of Eligible own funds to MCR (P90),10.89051,All undertaking types,20250930,32
CYPRUS,2023 Q4,R0640_P90,Ratio of Eligible own funds to MCR (P90),11.83369,Life undertakings,20250930,4
CYPRUS,2023 Q4,R0640_P90,Ratio of Eligible own funds to MCR (P90),7.05079,Non-Life undertakings,20250930,21
CYPRUS,2023 Q4,R0640_P90,Ratio of Eligible own funds to MCR (P90),14.93592,Other undertakings,20250930,7
CYPRUS,2024 Q1,R0500,Total available own funds to meet the SCR,178.066688,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0500,Total available own funds to meet the SCR,785.202051,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0500,Total available own funds to meet the SCR,666.075895,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0510,Total available own funds to meet the MCR,178.066688,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0510,Total available own funds to meet the MCR,756.726662,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0510,Total available own funds to meet the MCR,666.075895,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0540,Total eligible own funds to meet the SCR,178.066688,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0540,Total eligible own funds to meet the SCR,773.263753,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0540,Total eligible own funds to meet the SCR,666.075895,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0540 - C0020,EOF Tier 1 - unrestricted,178.066688,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0540 - C0020,EOF Tier 1 - unrestricted,756.726662,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0540 - C0020,EOF Tier 1 - unrestricted,665.279228,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0540 - C0030,EOF Tier 1 - restricted,0.0,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0540 - C0030,EOF Tier 1 - restricted,0.0,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0540 - C0030,EOF Tier 1 - restricted,0.0,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0540 - C0040,EOF Tier 2,0.0,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0540 - C0040,EOF Tier 2,16.46149,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0540 - C0040,EOF Tier 2,0.796667,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0540 - C0050,EOF Tier 3,0.0,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0540 - C0050,EOF Tier 3,0.0756,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0540 - C0050,EOF Tier 3,0.0,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0550,Total eligible own funds to meet the MCR,178.066688,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0550,Total eligible own funds to meet the MCR,756.726662,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0550,Total eligible own funds to meet the MCR,666.075895,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0580,SCR,65.057906,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0580,SCR,280.32555,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0580,SCR,235.399733,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0600,MCR,17.230861,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0600,MCR,120.336343,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0600,MCR,80.920387,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0620,Ratio of Eligible own funds to SCR,2.78487,All undertaking types,20250930,33
CYPRUS,2024 Q1,R0620,Ratio of Eligible own funds to SCR,2.73705,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0620,Ratio of Eligible own funds to SCR,2.75845,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0620,Ratio of Eligible own funds to SCR,2.82955,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.45436,All undertaking types,20250930,33
CYPRUS,2024 Q1,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.9656,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.56853,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.29949,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.73255,All undertaking types,20250930,33
CYPRUS,2024 Q1,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.09927,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.72771,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.93375,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.08515,All undertaking types,20250930,33
CYPRUS,2024 Q1,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.32205,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.03374,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.27595,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.40899,All undertaking types,20250930,33
CYPRUS,2024 Q1,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.82072,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.34825,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.77515,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.29185,All undertaking types,20250930,33
CYPRUS,2024 Q1,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.11993,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.11777,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.85009,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0640,Ratio of Eligible own funds to MCR,7.32705,All undertaking types,20250930,33
CYPRUS,2024 Q1,R0640,Ratio of Eligible own funds to MCR,10.33417,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0640,Ratio of Eligible own funds to MCR,6.28843,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0640,Ratio of Eligible own funds to MCR,8.23125,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0640_P10,Ratio of Eligible own funds to MCR (P10),1.37943,All undertaking types,20250930,33
CYPRUS,2024 Q1,R0640_P10,Ratio of Eligible own funds to MCR (P10),7.13657,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0640_P10,Ratio of Eligible own funds to MCR (P10),1.25694,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0640_P10,Ratio of Eligible own funds to MCR (P10),2.72203,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0640_P25,Ratio of Eligible own funds to MCR (P25),2.34896,All undertaking types,20250930,33
CYPRUS,2024 Q1,R0640_P25,Ratio of Eligible own funds to MCR (P25),7.27509,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0640_P25,Ratio of Eligible own funds to MCR (P25),2.19376,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0640_P25,Ratio of Eligible own funds to MCR (P25),3.86856,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0640_P50,Ratio of Eligible own funds to MCR (P50),4.20274,All undertaking types,20250930,33
CYPRUS,2024 Q1,R0640_P50,Ratio of Eligible own funds to MCR (P50),7.50595,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0640_P50,Ratio of Eligible own funds to MCR (P50),3.71376,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0640_P50,Ratio of Eligible own funds to MCR (P50),5.41643,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0640_P75,Ratio of Eligible own funds to MCR (P75),7.04422,All undertaking types,20250930,33
CYPRUS,2024 Q1,R0640_P75,Ratio of Eligible own funds to MCR (P75),10.39173,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0640_P75,Ratio of Eligible own funds to MCR (P75),5.45854,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0640_P75,Ratio of Eligible own funds to MCR (P75),9.06658,Other undertakings,20250930,8
CYPRUS,2024 Q1,R0640_P90,Ratio of Eligible own funds to MCR (P90),9.97298,All undertaking types,20250930,33
CYPRUS,2024 Q1,R0640_P90,Ratio of Eligible own funds to MCR (P90),12.12319,Life undertakings,20250930,3
CYPRUS,2024 Q1,R0640_P90,Ratio of Eligible own funds to MCR (P90),7.51593,Non-Life undertakings,20250930,22
CYPRUS,2024 Q1,R0640_P90,Ratio of Eligible own funds to MCR (P90),12.95691,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0500,Total available own funds to meet the SCR,182.354212,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0500,Total available own funds to meet the SCR,812.40926,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0500,Total available own funds to meet the SCR,685.595882,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0510,Total available own funds to meet the MCR,182.354212,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0510,Total available own funds to meet the MCR,784.04927,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0510,Total available own funds to meet the MCR,685.595882,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0540,Total eligible own funds to meet the SCR,182.354212,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0540,Total eligible own funds to meet the SCR,798.371257,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0540,Total eligible own funds to meet the SCR,685.595882,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0540 - C0020,EOF Tier 1 - unrestricted,182.354212,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0540 - C0020,EOF Tier 1 - unrestricted,784.04927,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0540 - C0020,EOF Tier 1 - unrestricted,684.799215,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0540 - C0030,EOF Tier 1 - restricted,0.0,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0540 - C0030,EOF Tier 1 - restricted,0.0,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0540 - C0030,EOF Tier 1 - restricted,0.0,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0540 - C0040,EOF Tier 2,0.0,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0540 - C0040,EOF Tier 2,14.207511,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0540 - C0040,EOF Tier 2,0.796667,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0540 - C0050,EOF Tier 3,0.0,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0540 - C0050,EOF Tier 3,0.114476,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0540 - C0050,EOF Tier 3,0.0,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0550,Total eligible own funds to meet the MCR,182.354212,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0550,Total eligible own funds to meet the MCR,784.04927,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0550,Total eligible own funds to meet the MCR,685.595882,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0580,SCR,62.887166,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0580,SCR,286.190231,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0580,SCR,237.843243,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0600,MCR,16.606501,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0600,MCR,122.309547,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0600,MCR,82.693581,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0620,Ratio of Eligible own funds to SCR,2.83909,All undertaking types,20250930,33
CYPRUS,2024 Q2,R0620,Ratio of Eligible own funds to SCR,2.8997,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0620,Ratio of Eligible own funds to SCR,2.78965,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0620,Ratio of Eligible own funds to SCR,2.88255,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.42723,All undertaking types,20250930,33
CYPRUS,2024 Q2,R0620_P10,Ratio of Eligible own funds to SCR (P10),2.03061,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.63869,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.3226,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.82444,All undertaking types,20250930,33
CYPRUS,2024 Q2,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.11418,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.81783,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.99236,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.11112,All undertaking types,20250930,33
CYPRUS,2024 Q2,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.25347,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.02269,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.32869,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.47692,All undertaking types,20250930,33
CYPRUS,2024 Q2,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.93649,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.30997,Non-Life undertakings,20250930,22
CYPRUS,2024 Q2,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.75644,Other undertakings,20250930,8
CYPRUS,2024 Q2,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.56915,All undertaking types,20250930,33
CYPRUS,2024 Q2,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.34629,Life undertakings,20250930,3
CYPRUS,2024 Q2,R0620_P90,Ratio of Eligible own funds to SCR (P90),2.98334,Non-Life undertakings,20250930,22
