Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020,2021,2022,2023,2024
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,12843.33429,11863.68395,12552.05469,12886.13595,14489.25866,15236.16049,18017.45894,,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,16556.85518,16965.72883,18273.42707,18896.37218,15369.60823,17348.6007,20105.19891,21494.5474,23725.79037
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,49888.04108,53901.71454,57196.42208,54972.70179,51791.54018,60607.77886,64997.01365,64835.91998,64407.48426
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,45061.49939,47163.74258,51194.07498,49885.99474,48716.40989,53648.71907,52176.66491,56033.57379,56833.19605
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649,5408.045352,7770.594223,7133.02838,7283.83563
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,235.2862054,236.6944726,224.8993924,210.2364945,210.0081399,214.0914554,250.6342254,192.0743054,153.9302179
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,41854.54983,44035.32394,47487.21004,46716.62275,45906.28758,51658.23829,50822.25185,54690.09427,55954.61063
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1010.533896,1054.974081,1151.74097,1130.821353,1200.194266,1318.651581,1266.42711,1394.177847,1485.38019
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,663.7423648,709.0915359,777.4656185,764.8530778,825.2370388,895.5352884,836.1183046,882.6898101,987.3213781
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1649.283809,1811.082217,1965.243727,2129.79897,2248.850788,2482.849178,2716.485928,2551.017738,2593.416074
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,7822.499233,8696.689304,9872.385078,10372.80443,10769.94757,12972.21734,13999.67192,15883.86185,17412.41151
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,23800.00144,24784.76935,26324.40665,27259.74386,24342.84446,27147.80839,30470.52193,29290.12842,30048.21777
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,30616.53632,31875.48817,32642.33532,33640.33699,26178.75376,30367.86058,34957.16133,38231.77448,39455.44665
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,4928.566525,5345.019855,6047.845843,6122.375345,6130.311332,7295.343824,7655.59421,8663.02323,8957.372942
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,5039.775609,5785.544919,6360.037502,6837.773396,6542.8558,7489.718947,7994.648061,7896.753883,8316.647763
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6142.498732,6072.582676,6031.281396,6190.047923,5227.193638,6122.611586,7068.454783,7459.998151,8429.679597
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,108747.3561,112339.4256,113204.8221,115798.0408,106976.5462,112765.0817,121613.94,132604.4391,138934.9588
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3035.873477,3306.303012,3500.726422,3503.896011,3099.942191,3384.844865,3643.92827,3686.279964,4001.21134
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8836.286527,10080.50928,9300.661649,9029.833267,7074.193783,7972.53665,9281.333344,10377.58928,10280.31486
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,19065.80698,19692.76067,20055.91587,20583.72658,18347.11091,18696.7859,22164.02603,23804.02499,25365.79494
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,26663.29732,28024.38246,30988.11905,30426.57303,26834.35925,31006.96362,36632.92804,32890.54925,33417.83577
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3152.309051,3435.288047,3400.204172,3576.879871,3191.66907,3570.61258,3711.32768,3839.409304,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6749.059943,7104.964011,7407.959401,7172.089565,6323.297498,7807.887945,8328.709057,7826.353765,7695.242064
